transactionId,returnLabel
4132523932,1
8998574539,0
9346688547,0
4533897707,0
3334800500,0
2186728765,0
3199662184,0
5402321657,0
2412583752,1
6514158177,0
9921070173,1
8509628417,1
3314363542,0
9102536054,0
8394537850,0
8812545928,0
8125796712,1
8864192738,1
9014789703,1
3693861930,0
2765009482,1
1047938402,0
3646462245,1
8777621375,0
2426486390,0
7018762417,1
2147937357,0
9814198624,0
2699358385,0
2557550487,0
6388610842,0
7990185735,1
4821967136,1
2017620274,0
9755596063,1
2312594453,0
7632282186,0
8077768084,0
4167589774,0
2552433216,0
1994166750,0
2566351716,0
3199126427,0
2556356198,1
3568168553,0
6987389327,0
3363303490,0
1968635303,0
1328215072,0
2815035476,0
4551632935,0
9660726636,0
2461964800,1
8521523017,1
1777006911,0
4710405279,1
8039369435,0
7057928585,0
2015554352,0
2798478609,0
4759447650,1
5250444443,0
2864499485,0
5089600329,0
4438657611,0
9472416628,1
6157452739,0
2095573064,0
7681508453,0
9988588603,0
6957050142,0
9613234715,1
1657317799,1
8528343168,0
2881831791,0
9927818710,0
2897977974,0
2374484031,0
3829992678,0
9601517011,0
5553716624,0
8462460851,0
5190448479,0
8905307964,1
9925403501,0
3744884370,0
3569949127,1
2898723170,1
3459064581,1
1512518002,0
8052536787,0
1893329994,0
1765471642,1
5542845319,0
6386623822,0
5096580224,0
6435137301,1
6575477846,0
4223819298,0
5241574396,1
6226712407,0
4395957998,1
9212152078,1
1010745363,1
8785941121,0
3414005408,1
1767781772,1
9099740894,0
3085214607,0
1229001952,0
5245919173,1
3818304962,0
2807210601,1
9233066148,0
9676427529,1
1816440926,0
6881562140,0
4513793802,0
5619226005,1
9743801122,0
9523939521,1
8080657980,1
3291580993,0
5862092836,0
8872340466,0
4746267608,1
2177910460,0
6694000174,0
2888994613,0
9730546922,1
5283375230,0
8637005947,0
3262724123,0
9720215549,0
7577359518,0
1277134112,0
3762617937,0
5919038440,0
4675612945,0
5246602945,1
3761562536,0
9053224651,1
8526487050,0
2479205299,1
9346413667,0
1947556849,1
6726705258,0
6272096862,1
2074384127,0
6216854242,0
7727668397,0
7159868934,0
6142416780,1
4707447800,0
9955695895,1
9108158838,0
3917826865,0
7422014028,0
7160950296,0
8090846537,0
7708599195,1
3542400094,1
3774472319,1
3428765896,0
9910120478,0
5944496907,0
9175127214,0
3710120936,0
6159753818,0
6717908672,1
1252857790,0
9604315153,0
8532030043,0
1121879911,0
6433691318,1
4066009161,0
6637401347,0
2189854340,1
3667901902,0
8339284895,0
5352538143,1
5986651440,0
1274575397,0
3687952351,1
9730834630,1
1802664118,0
7680783598,0
1502376735,0
9739699790,1
7306802975,0
3061660164,0
1396590569,0
5824674413,0
7273566548,0
9823356832,0
2614193519,1
1155835873,0
4724972267,0
8074905895,0
9038490735,1
9362119509,0
2912975491,0
6529843970,0
5469193271,0
6162916864,0
3814585329,0
7027274805,1
7022540602,0
1883415946,0
4696439623,0
6848873382,0
9211575249,0
2833042962,0
3021688548,1
9782939731,0
8510779250,0
7194176288,0
6353873205,0
5155874784,0
9651309207,1
9869021635,0
1492969437,0
9676816547,0
4130981754,1
2560706398,1
5241062367,1
7109589203,0
1638738915,0
4833431512,0
9338539668,1
3786167364,1
8379382010,0
5893736332,0
2100781975,1
4285160305,0
9338554020,1
3958593617,0
4917476487,0
6948766379,1
9755200642,1
6189017822,1
6909935412,0
2877572614,1
3601581562,0
4396584892,0
1065544576,0
4952780699,0
7291309667,1
1223815358,0
6072622251,0
9690667872,1
1262307647,0
8301715768,0
7287186376,0
8510836335,1
3715606691,0
6872509192,1
6104277107,0
7444229268,1
5793852574,0
1531728098,1
6167452423,1
8477987538,0
8128845155,0
3545375998,1
3570550797,0
2890999050,1
3799942052,0
2335546624,0
9858190458,0
2925573877,0
7801284530,1
5496114896,1
8540610734,0
5721006900,0
7535478786,0
5496182406,0
4189848950,0
9368621596,1
6146988111,0
7770657801,1
1750887431,0
8961601584,0
3503950250,1
7693732048,1
6403040178,0
7740542844,0
6460032591,0
7671532121,0
3787073236,0
8839091735,0
6324262388,1
4037836627,0
9437143239,1
4553351177,0
3713608152,0
4907039088,1
6726937241,1
7761978259,0
3238868436,1
5410584090,0
8353656223,0
7232718287,1
7006181928,0
5707896212,0
9164081807,0
5939305356,0
2445204615,0
2461072898,0
2393602548,0
1102128874,0
9427598255,0
5890178945,0
5453130856,0
9333236388,0
4489421429,0
7634760430,0
3434483008,0
7048609631,0
3671333053,0
3371116360,1
7450905482,1
1397138672,0
9265769191,1
8089177980,0
5903619126,0
7210604811,0
4093025561,1
9409879714,0
1827367319,1
4638708068,1
7216706253,1
3503000948,1
6769583756,0
7279519018,1
9478346396,0
6660424690,0
9878243574,1
4398750795,0
6161603348,0
6944403936,1
9087427498,0
6489269858,0
8880581721,0
6559557140,0
1473461622,0
8362635379,0
7312987582,0
1441300200,0
7928403302,0
4395068055,0
3404331822,0
2011735064,0
5085263623,0
2637132738,1
5019970923,0
5079150600,0
3778179834,1
6545196002,1
5007967402,0
7335085354,0
2514481450,0
5040725289,1
6112394183,1
7642301128,1
6114130964,0
5098443681,0
7734542685,1
8303454207,0
5217312699,0
6337488143,0
7975641045,1
6011910407,1
9879996531,0
5514081800,0
3615436130,0
3538718677,1
3498383287,1
7048742362,0
2472850125,0
7746939734,0
5784513093,0
9125897744,0
9718974478,0
6654303853,1
8933756424,0
9438126758,1
